"perm","id_1","id_2","name_1","name_2","lat_id_1","lon_id_1","lat_id_2","lon_id_2","distance"
way/496524239way/601388078,way/496524239,way/601388078,Halsey Pond Park,Railroad Playground,41.0283515,-73.8587462,40.6494403,-73.9143004,64502.9
way/496524239way/187680299,way/496524239,way/187680299,Halsey Pond Park,Olmezer Park,41.0283515,-73.8587462,40.5504805,-74.3665681,88004.5
way/496524239way/469203131,way/496524239,way/469203131,Halsey Pond Park,Joseph F. Mafera Park,41.0283515,-73.8587462,40.7070248,-73.8912414,44610.8
way/496524239way/334803989,way/496524239,way/334803989,Halsey Pond Park,Civil War Monument Park,41.0283515,-73.8587462,40.9973838,-73.6682347,25404.3
way/496524239way/639082317,way/496524239,way/639082317,Halsey Pond Park,Huddy Park,41.0283515,-73.8587462,40.4048161,-73.9942834,117170
way/496524239way/1180028681,way/496524239,way/1180028681,Halsey Pond Park,Veterans Memorial Park,41.0283515,-73.8587462,40.8964486,-73.9731078,35570.6
way/496524239way/225189513,way/496524239,way/225189513,Halsey Pond Park,Poor Richard's Playground,41.0283515,-73.8587462,40.7926185,-73.9426331,32692.2
way/496524239way/676105729,way/496524239,way/676105729,Halsey Pond Park,,41.0283515,-73.8587462,40.7541286,-73.8249625,43140.1
way/496524239node/357637130,way/496524239,node/357637130,Halsey Pond Park,Georgia Avenue Garden,41.0283515,-73.8587462,40.6611111,-73.8941667,61907.8
way/496524239node/357610721,way/496524239,node/357610721,Halsey Pond Park,Veteran's Memorial Park,41.0283515,-73.8587462,41.0408397,-73.9819517,25419.5
way/496524239way/607557302,way/496524239,way/607557302,Halsey Pond Park,,41.0283515,-73.8587462,40.6597213,-74.2520383,71256.3
way/496524239way/445852457,way/496524239,way/445852457,Halsey Pond Park,Stein Field,41.0283515,-73.8587462,40.5969947,-74.2929807,78091.3
way/496524239relation/17283039,way/496524239,relation/17283039,Halsey Pond Park,Nassau Mall,41.0283515,-73.8587462,40.7647537,-73.7250832,51465.9
way/496524239way/409831746,way/496524239,way/409831746,Halsey Pond Park,Calvert Field,41.0283515,-73.8587462,40.8326797,-73.4920356,76308.1
way/496524239way/981858308,way/496524239,way/981858308,Halsey Pond Park,,41.0283515,-73.8587462,40.7816228,-73.6743688,57030.1
way/496524239way/916885477,way/496524239,way/916885477,Halsey Pond Park,,41.0283515,-73.8587462,40.840043,-73.7074015,62877.5
way/496524239way/367482920,way/496524239,way/367482920,Halsey Pond Park,Sergeant Collins Triangle,41.0283515,-73.8587462,40.751779,-73.902945,38632.3
way/496524239way/755070460,way/496524239,way/755070460,Halsey Pond Park,Nature Study Woods,41.0283515,-73.8587462,40.9356728,-73.8025819,20840.4
way/187680299way/701209222,way/187680299,way/701209222,Olmezer Park,Stewart Field,40.5504805,-74.3665681,40.7319938,-73.6159393,98990.1
way/187680299way/601388078,way/187680299,way/601388078,Olmezer Park,Railroad Playground,40.5504805,-74.3665681,40.6494403,-73.9143004,57275.5
way/187680299way/496524239,way/187680299,way/496524239,Olmezer Park,Halsey Pond Park,40.5504805,-74.3665681,41.0283515,-73.8587462,85668
way/187680299way/469203131,way/187680299,way/469203131,Olmezer Park,Joseph F. Mafera Park,40.5504805,-74.3665681,40.7070248,-73.8912414,62819.5
way/187680299way/334803989,way/187680299,way/334803989,Olmezer Park,Civil War Monument Park,40.5504805,-74.3665681,40.9973838,-73.6682347,95135.4
way/187680299way/639082317,way/187680299,way/639082317,Olmezer Park,Huddy Park,40.5504805,-74.3665681,40.4048161,-73.9942834,42942.8
way/187680299way/1180028681,way/187680299,way/1180028681,Olmezer Park,Veterans Memorial Park,40.5504805,-74.3665681,40.8964486,-73.9731078,58913.4
way/187680299way/225189513,way/187680299,way/225189513,Olmezer Park,Poor Richard's Playground,40.5504805,-74.3665681,40.7926185,-73.9426331,67260
way/187680299way/676105729,way/187680299,way/676105729,Olmezer Park,,40.5504805,-74.3665681,40.7541286,-73.8249625,76946.8
way/187680299node/357637130,way/187680299,node/357637130,Olmezer Park,Georgia Avenue Garden,40.5504805,-74.3665681,40.6611111,-73.8941667,59659.4
way/187680299node/357610721,way/187680299,node/357610721,Olmezer Park,Veteran's Memorial Park,40.5504805,-74.3665681,41.0408397,-73.9819517,80766.9
way/187680299way/607557302,way/187680299,way/607557302,Olmezer Park,,40.5504805,-74.3665681,40.6597213,-74.2520383,18103.8
way/187680299way/445852457,way/187680299,way/445852457,Olmezer Park,Stein Field,40.5504805,-74.3665681,40.5969947,-74.2929807,9651.1
way/187680299relation/17283039,way/187680299,relation/17283039,Olmezer Park,Nassau Mall,40.5504805,-74.3665681,40.7647537,-73.7250832,85272.6
way/187680299way/409831746,way/187680299,way/409831746,Olmezer Park,Calvert Field,40.5504805,-74.3665681,40.8326797,-73.4920356,110114.8
way/187680299way/981858308,way/187680299,way/981858308,Olmezer Park,,40.5504805,-74.3665681,40.7816228,-73.6743688,90836.7
way/187680299way/916885477,way/187680299,way/916885477,Olmezer Park,,40.5504805,-74.3665681,40.840043,-73.7074015,96684.2
way/187680299way/367482920,way/187680299,way/367482920,Olmezer Park,Sergeant Collins Triangle,40.5504805,-74.3665681,40.751779,-73.902945,73200.1
way/187680299way/755070460,way/187680299,way/755070460,Olmezer Park,Nature Study Woods,40.5504805,-74.3665681,40.9356728,-73.8025819,79924.8
way/469203131way/701209222,way/469203131,way/701209222,Joseph F. Mafera Park,Stewart Field,40.7070248,-73.8912414,40.7319938,-73.6159393,32870.3
way/469203131way/601388078,way/469203131,way/601388078,Joseph F. Mafera Park,Railroad Playground,40.7070248,-73.8912414,40.6494403,-73.9143004,9812.2
way/469203131way/496524239,way/469203131,way/496524239,Joseph F. Mafera Park,Halsey Pond Park,40.7070248,-73.8912414,41.0283515,-73.8587462,44695.1
way/469203131way/187680299,way/469203131,way/187680299,Joseph F. Mafera Park,Olmezer Park,40.7070248,-73.8912414,40.5504805,-74.3665681,62434.7
way/469203131way/334803989,way/469203131,way/334803989,Joseph F. Mafera Park,Civil War Monument Park,40.7070248,-73.8912414,40.9973838,-73.6682347,50152.5
way/469203131way/639082317,way/469203131,way/639082317,Joseph F. Mafera Park,Huddy Park,40.7070248,-73.8912414,40.4048161,-73.9942834,88947.3
